"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"23782","000000000000B86B","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23783","0000000000115F20","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23784","000000000009A44E","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23785","0000000000014EFF","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23786","000000000000B86D","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23787","000000000001449B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23788","00000000000F05D7","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23789","0000000000014E4F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23790","00000001002C3AD1","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23791","000000000014D1BD","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23792","00000000000CBDAB","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23793","0000000000014E09","Oulun lääni","","Ei tietoa","Mies","Leski"
"23794","00000000000E494D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23795","00000000000E32B5","Oulun lääni","","Ei tietoa","Mies","Leski"
"23796","00000000000D803B","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23797","0000000000014BF5","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23798","0000000000115DE6","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23799","0000000000031B4F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23800","0000000000034B47","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23801","00000000000A7550","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23802","00000000000335D4","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23803","00000000000D1AA1","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23804","0000000000014C74","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23805","00000000000AC0D7","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23806","0000000000014C20","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23807","00000000000A3576","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23808","0000000000030B64","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23809","00000000000B7E16","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23810","0000000000146BEA","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23811","000000000001460B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23812","00000000000A4478","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23813","0000000000014527","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23814","00000000000EA80F","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23815","00000000000ECF16","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23816","000000000009B421","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23817","0000000000014534","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23818","00000000000CE71A","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23819","00000000000DD668","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23820","0000000000014E82","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23821","00000000000BCA67","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23822","00000000000E4218","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23823","0000000000032A6D","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23824","0000000000110C1F","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23825","00000000000E4240","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23826","00000000000C7E5F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23827","00000000000E423D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23828","000000000015491D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23829","000000000003848F","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
